N	vt_small	vt_big	vt_grand	cs_star
1	13585832.137611613	13585832.137611613	13585832.137611613	[1]
2	13581320.131409692	13581320.131409692	13587426.365615014	[1, 1]
3	13576808.125207763	13576808.125207763	13590083.412287312	[1, 1, 1]
4	13569378.340807265	13569378.340807265	13593803.277628582	[2, 2]
5	13549736.087996157	13564866.334605338	13598585.961638736	[2, 2, 1]
6	13545224.081794225	13560354.328403411	13604431.464317868	[2, 2, 1, 1]
7	13540712.075592302	13555842.322201476	13611339.785665898	[2, 2, 1, 1, 1]
8	13521611.17839769	13521611.17839769	13619310.925682863	[4, 4]
9	13441447.939149842	13517099.172195755	13628344.884368753	[4, 4, 1]
10	13436935.932947913	13512587.16599383	13638441.661723545	[4, 4, 1, 1]
11	13432423.92674598	13508075.159791904	13649601.257747304	[4, 4, 1, 1, 1]
12	13427911.920544054	13503563.153589977	13661823.672439996	[4, 4, 1, 1, 1, 1]
13	13423399.914342126	13499051.147388048	13675108.905801589	[4, 4, 1, 1, 1, 1, 1]
14	13390251.481771309	13390251.481771309	13689456.95783211	[7, 7]
15	13143655.529822435	13385739.475569384	13704867.828531567	[7, 7, 1]
16	13139143.523620473	13381227.469367411	13721341.517899955	[7, 7, 1, 1]
17	13134631.51741854	13376715.46316548	13738878.025937282	[7, 7, 1, 1, 1]
18	13130119.511216613	13372203.456963561	13757477.352643525	[7, 7, 1, 1, 1, 1]
19	13125607.505014692	13367691.45076164	13777139.498018688	[7, 7, 1, 1, 1, 1, 1]
20	13121095.498812754	13363179.444559699	13797864.462062806	[7, 7, 1, 1, 1, 1, 1, 1]
21	13116583.492610833	13358667.438357774	13819652.24477582	[7, 7, 1, 1, 1, 1, 1, 1, 1]
22	13103648.507313706	13103648.507313706	13842502.846157774	[11, 11]
23	12493926.63674442	13099136.501111777	13866416.26620869	[11, 11, 1]
24	12489414.63054248	13094624.494909847	13891392.504928472	[11, 11, 1, 1]
25	12484902.624340562	13090112.488707919	13917431.562317222	[11, 11, 1, 1, 1]
