N	cs_star	vt_small	vt_big	vt_grand	cs_star_long	vt_small_long	vt_big_long	vt_grand_long
1	1	13585832.137611613	13585832.137611613	13585832.137611613	1	23351654.66821368	23351654.66821368	23351654.66821368
2	1^2	13581320.131409692	13581320.131409692	13587426.365615014	2	23337279.524352327	23337279.524352327	23337279.524352327
3	1^3	13576808.125207763	13576808.125207763	13590083.412287312	2,1	23297804.36269799	23323816.947973393	23313320.951249942
4	1^4	13572296.119005835	13572296.119005835	13593803.277628582	4	23279778.948906757	23279778.948906757	23279778.948906757
5	1^5	13567784.112803902	13567784.112803902	13598585.961638736	4,1	23136253.446150754	23266316.37252782	23236653.517322533
6	1^6	13563272.106601978	13563272.106601978	13604431.464317868	4,2	23121878.302289385	23225928.643391047	23183944.656497527
7	1^7	13558760.100400047	13558760.100400047	13611339.785665898	4,2,1	23082403.140635055	23212466.067012135	23121652.3664315
8	1^8	13554248.094198082	13554248.094198082	13619310.925682863	8	23049776.647124577	23049776.647124577	23049776.647124577
9	1^9	13549736.087996157	13549736.087996157	13628344.884368753	8,1	22490049.77996193	23036314.070745666	22968317.498576727
10	1^10	13545224.081794225	13545224.081794225	13638441.661723545	8,2	22475674.636100575	22995926.341608863	22877274.920787856
11	1^11	13540712.075592302	13540712.075592302	13649601.257747304	8,2,1	22436199.474446226	22982463.765229944	22776648.913758207
12	1^12	13536200.069390371	13536200.069390371	13661823.672439996	8,4	22418174.06065502	22834375.42506163	22666439.47748762
13	1^13	13531688.063188434	13531688.063188434	13675108.905801589	8,4,1	22274648.557898995	22820912.848682713	22546646.61197603
14	1^14	13527176.056986507	13527176.056986507	13689456.95783211	8,4,2	22260273.41403762	22780525.11954592	22417270.3172235
15	1^15	13522664.050784588	13522664.050784588	13704867.828531567	8,4,2,1	22220798.252383184	22767062.543166876	22278310.5932301
16	1^16	13518152.044582654	13518152.044582654	13721341.517899955	16	22129767.439995766	22129767.439995766	22129767.439995766
17	1^17	13513640.038380725	13513640.038380725	13738878.025937282	16,1	19905235.115206577	22116304.86361684	21971640.85752052
18	1^18	13509128.032178795	13509128.032178795	13757477.352643525	16,2	19890859.971345212	22075917.134480055	21803930.845804363
19	1^19	13504616.025976874	13504616.025976874	13777139.498018688	16,2,1	19851384.809690863	22062454.558101133	21626637.404847205
20	1^20	13500104.01977494	13500104.01977494	13797864.462062806	16,4	19833359.395899646	21914366.217932813	21439760.53464924
21	1^21	13495592.013573023	13495592.013573023	13819652.24477582	16,4,1	19689833.893143646	21900903.641553916	21243300.23521026
22	1^22	13491080.00737109	13491080.00737109	13842502.846157774	16,4,2	19675458.749282267	21860515.912417106	21037256.506530378
23	1^23	13486568.001169154	13486568.001169154	13866416.26620869	16,4,2,1	19635983.587627918	21847053.336038195	20821629.348609623
24	1^24	13482055.994967196	13482055.994967196	13891392.504928472	16,8	19603357.094117463	21268162.55174401	20596418.76144782
25	1^25	13477543.988765266	13477543.988765266	13917431.562317222	16,8,1	19043630.226954818	21254699.975365087	20361624.745045196
