N	overarching (T=60)	w/o overarching (T=60)	overarching (T=150)	w/o overarching (T=150)
1	1	1	1	1
2	1^2	1^2	2	2
3	1^3	1^3	2,1	2,1
4	2^2	1^4	4	4
5	2^2,1	1^5	4,1	4,1
6	2^2,1^2	1^6	4,2	4,2
7	2^2,1^3	1^7	4,2,1	4,2,1
8	4^2	1^8	8	8
9	4^2,1	1^9	8,1	8,1
10	4^2,1^2	1^10	8,2	8,2
11	4^2,1^3	1^11	8,2,1	8,2,1
12	4^2,1^4	1^12	8,4	8,4
13	4^2,1^5	1^13	8,4,1	8,4,1
14	7^2	1^14	8,4,2	8,4,2
15	7^2,1	1^15	8,4,2,1	8,4,2,1
16	7^2,1^2	1^16	16	16
17	7^2,1^3	1^17	16,1	16,1
18	7^2,1^4	1^18	16,2	16,2
19	7^2,1^5	1^19	16,2,1	16,2,1
20	7^2,1^6	1^20	16,4	16,4
21	7^2,1^7	1^21	16,4,1	16,4,1
22	11^2	1^22	16,4,2	16,4,2
23	11^2,1	1^23	16,4,2,1	16,4,2,1
24	11^2,1^2	1^24	16,8	16,8
25	11^2,1^3	1^25	16,8,1	16,8,1
