N	separation of power (T=40)	w/o separation of power (T=40)	separation of power (T=150)	w/o separation of power (T=150)
1	1	1	1	1
2	1^2	1^2	2	2
3	1^3	1^3	2,1	2,1
4	1^4	1^4	4	4
5	1^5	1^5	4,1	4,1
6	1^6	6	4,2	4,2
7	1^7	6,1	4,2,1	4,2,1
8	1^8	6,1^2	8	8
9	1^9	6,1^3	8,1	8,1
10	1^10	6,1^4	8,2	8,2
11	1^11	6,1^5	8,2,1	8,2,1
12	1^12	6^2	8,4	8,4
13	1^13	6^2,1	8,4,1	8,4,1
14	1^14	6^2,1^2	8,4,2	8,4,2
15	1^15	6^2,1^3	8,4,2,1	15
16	1^16	6^2,1^4	16	15,1
17	1^17	6^2,1^5	16,1	15,2
18	1^18	6^3	16,2	15,2,1
19	1^19	6^3,1	16,2,1	15,4
20	1^20	6^3,1^2	16,4	15,4,1
21	1^21	6^3,1^3	16,4,1	15,4,2
22	1^22	6^3,1^4	16,4,2	15,4,2,1
23	1^23	6^3,1^5	16,4,2,1	15,8
24	1^24	6^4	16,8	15,8,1
25	1^25	6^4,1	16,8,1	15,8,2
